threshold,precision,recall,f1,f2,targeted_customers,targeted_rate,true_positives,false_positives,false_negatives,true_negatives
0.34,0.7993079584775087,0.9467213114754098,0.8667917448405253,0.9130434782608695,289,0.19013157894736843,231,58,13,1218
0.345,0.7993079584775087,0.9467213114754098,0.8667917448405253,0.9130434782608695,289,0.19013157894736843,231,58,13,1218
0.35,0.7993079584775087,0.9467213114754098,0.8667917448405253,0.9130434782608695,289,0.19013157894736843,231,58,13,1218
0.355,0.7993079584775087,0.9467213114754098,0.8667917448405253,0.9130434782608695,289,0.19013157894736843,231,58,13,1218
0.36,0.7993079584775087,0.9467213114754098,0.8667917448405253,0.9130434782608695,289,0.19013157894736843,231,58,13,1218
0.365,0.8020833333333334,0.9467213114754098,0.868421052631579,0.9137658227848101,288,0.18947368421052632,231,57,13,1219
0.37,0.8076923076923077,0.9467213114754098,0.8716981132075472,0.9152139461172741,286,0.1881578947368421,231,55,13,1221
0.375,0.8076923076923077,0.9467213114754098,0.8716981132075472,0.9152139461172741,286,0.1881578947368421,231,55,13,1221
0.38,0.8076923076923077,0.9467213114754098,0.8716981132075472,0.9152139461172741,286,0.1881578947368421,231,55,13,1221
0.385,0.8105263157894737,0.9467213114754098,0.8733459357277883,0.91593973037272,285,0.1875,231,54,13,1222
0.39,0.8133802816901409,0.9467213114754098,0.875,0.9166666666666666,284,0.1868421052631579,231,53,13,1223
0.395,0.8133802816901409,0.9467213114754098,0.875,0.9166666666666666,284,0.1868421052631579,231,53,13,1223
0.4,0.8133802816901409,0.9467213114754098,0.875,0.9166666666666666,284,0.1868421052631579,231,53,13,1223
0.405,0.8133802816901409,0.9467213114754098,0.875,0.9166666666666666,284,0.1868421052631579,231,53,13,1223
0.41,0.8127208480565371,0.9426229508196722,0.872865275142315,0.9134233518665608,283,0.18618421052631579,230,53,14,1223
0.415,0.8156028368794326,0.9426229508196722,0.8745247148288974,0.9141494435612083,282,0.18552631578947368,230,52,14,1224
0.42,0.8156028368794326,0.9426229508196722,0.8745247148288974,0.9141494435612083,282,0.18552631578947368,230,52,14,1224
0.425,0.8156028368794326,0.9426229508196722,0.8745247148288974,0.9141494435612083,282,0.18552631578947368,230,52,14,1224
0.43,0.8185053380782918,0.9426229508196722,0.8761904761904762,0.9148766905330151,281,0.18486842105263157,230,51,14,1225
0.435,0.8214285714285714,0.9426229508196722,0.8778625954198473,0.9156050955414012,280,0.18421052631578946,230,50,14,1226
0.44,0.8214285714285714,0.9426229508196722,0.8778625954198473,0.9156050955414012,280,0.18421052631578946,230,50,14,1226
